State,City,Hospital / Private,Category,Systems of Medicine,Contact Details,Area Pin Code,Email address,Website link,Specializations,Services
Delhi,Delhi,"Vasan Eye Care Hospital, Panchsheel Park",Private,Allopathic,"S- 61 (Basement), South Delhi, Panchsheel Park, New Delhi",110017,NA,www.vasaneye.in,"Cataract Services, Refractive Surgery Services, Cornea Services, Glaucoma Services, Retina Services, Paediatric Ophthalmology, and Squint Services, Oculoplasty Services, UVEITIS, Vision Rehabilitation , ServicesComputer Vision , Syndrome Clinic, Contact Lenses Optical Services, Neuro Ophthalmology,  Ophthalmology,  Pediatric Ophthalmology",NA
Delhi,Delhi,"Vasan Eye Care Hospital , Preet Vihar",Private,Allopathic,"F14, opposite Metro Pillar No. 94,Near Metro Station Gate No. 2,Preet Vihar, New Delhi , Phone- (011) 39890500,Fax No- (011) 30145044",110092,NA,www.vasaneye.in,"Cataract Services, Refractive Surgery Services, Cornea Services, Glaucoma Services, Retina Services, Paediatric Ophthalmology, and Squint Services, Oculoplasty Services, UVEITIS, Vision Rehabilitation , ServicesComputer Vision , Syndrome Clinic, Contact Lenses Optical Services, Neuro Ophthalmology,  Ophthalmology,  Pediatric Ophthalmology",NA
Delhi,Delhi,Gouri Hospital,Private,Allopathic,"30, Malka Ganj Road, Jawahar Nagar,Delhi,Phone- (011) 47164716, 47164713, 47164700",110007,NA,http://gourihospital.com/,"Clinical Services, Obstetrics and Gynaecology,& Assisted Reproductive Techniques, Pediatrics, Radiology, Ultra Sonography, E.N.T./Head & Neck Surgery",NA
Delhi,Delhi,Bharti Eye Hospital,Private,Allopathic,"E-52, Greater Kailash-I, New Delhi, Phone - (011) 2924 2784, 2924 3937,Fax No- (011) 2924 2783, Emergency: 9212259171, 9212222716, 9212222718",110048,info@bhartieye.com,http://www.bhartieye.com/,"Femto Cataract Surgery, Cataract Surgery, Lasik Eye Surgery, Glaucoma, Retina and Vitreous, Oculoplasty, Phacoemulsification, Refractive Surgery",NA
Delhi,Delhi,Bharti Eye Foundation,Private,Allopathic,"1/3 East Patel Nagar, (Near Metro Station), New Delhi,Phone -(011) 25889900, 25885533Helpline: 92123 39955, 92122 59181,Fax - (011) 42481718",110008,info@bhartieyefoundation.com,http://www.bhartieye.com/,NA,NA
Delhi,Delhi,Brahm Shakti Hospital & Research Center,Private,Allopathic,"U1/78, Budh Vihar, New Delhi, Phone - (011) 27531683,Emergency: 09210211213 ,09312751269",110086,NA,http://www.brahmshaktihospital.com/,NA,"Blood Bank Services ,Emergency Service ,Pharmacy Services Dialysis Services, Maternity Services, Ambulance Services"
Delhi,Delhi,Goyal Eye Institute,Private,Allopathic,"1/10 East Patel Nagar,Opp. METRO NO. 176,New Delhi, Phone-(011) 2588 1259,2588 8145, Fax- (011) 2588 0114",110008,NA,http://goyaleyeinstitute.com/,Eye Care,NA
Delhi,Delhi,Kailash Nursing Home Pvt Ltd,Private,Allopathic,"44, 49-51,South Patel Nagar ,New Delhi, Phone- (011) 25847411, 25847412, 65494962",110008,kailashnursinghome@gmail.com,kailashnursinghome.com,"Cholecystectomy and common bile duct surgeries, Diagnostic Laparoscopy, Appendectomy,Incisional and ventral hernia repair",NA
Delhi,Delhi,"Vision Eye Centre, Siri Fort",Private,Allopathic,"19, Siri Fort Road, New Delhi,Phone -(011) 26267611-17,Fax-(011) 26267618",110049,visioneyecentre21@gmail.com,www.visioneyecentre.com,NA,NA
Delhi,Delhi,"Vision Eye Centre, West Patel Nagar",Private,Allopathic,"12/27, West Patel Nagar, Near Arya Samaj Mandir, New Delhi,Phone-(011) 25882129, 25887228, Fax-(011) 25881212",110008,visioneyecentre55@gmail.com,www.visioneyecentre.com,NA,NA
Delhi,Delhi,Dr.Rajan Arora,Private,Allopathic,"A1/10 Sec-11 Rohini. Opposite of Japanese Park, Near Rithala Metro Station, New Delhi, Emergency: 09811209104",110088,drrajanarorapsh@gmail.com,http://rajancosmeticsurgery.com/,Cosmetic Surgery,NA
Delhi,Delhi,"Narang Eye Institute, Model Town",Private,Allopathic,"B8 Derawal Nagar ,Near Double Petrol Pump, Model Town, Ring Road Delhi, Phone- (011) 2714 1134, 2714 2598.Emergency: 09971457755, 09968387768,Fax -(011) 47058739",110009,contact@narangeyeinstitute.net,http://www.narangeyeinstitute.net/,NA,NA
Delhi,Delhi,"Narang Eye Institute, Pitampura",Private,Allopathic,"A-10, Lok Vihar, Pitampura, Opp. Harsh Vihar, Distt. Park, Delhi,Phone- (011) 47581563, 47060434 ,Emergency: 09971457755 ,",110034,contact@narangeyeinstitute.net,http://www.narangeyeinstitute.net/,NA,NA
Delhi,Delhi,Kiran Eye Care Centre,Private,Allopathic,"B-50, Derawal Nagar , Delhi, Phone- (011) 27134959, 27430434",110009,dranujkiran@yahoo.com,http://kiraneyecare.eidentiti.com/,Eye Care,Clinic Timings:10.00 A.M -12.00 NOON5.00 P.M-7.00 P.M
Delhi,Delhi,Kiran Eye Centre,Private,Allopathic,"C-211, Jhilmil Colony, Delhi, Phone-(011) 64603093, 09871063297",110095,NA,http://kiraneyecentre.com/,Eye Care,NA
Delhi,Delhi,"Nova Specialty Hospital, Karol Bagh",Private,Allopathic,"66A/2, New Rohtak Road, Karol Bagh, New Delhi, Phone- (011) 4004 3300-7, Fax- (011) 4004 3333",110005,NA,http://www.novaspecialtyhospitals.com/,"Bariatric Surgery,  Diabetology,  Endoscopy, ENT,Gastroenterology,  General Surgery,  Gynaecology,  Maxillofacial Surgery,  Ophthalmology,  Oral Surgery,  Orthopedics,  Plastic Surgery and Cosmetic Surgery,  Spine Surgery,  Surgical Oncology,  Urology,",NA
Delhi,Delhi,Nova Specialty Hospital,Private,Allopathic,"R-2, Nehru Enclave, New Delhi, Near Okhla Flyover on the Outer Ring road, Phone - (011) 66297500 , Fax -(011) 66297600",110019,NA,http://www.novaspecialtyhospitals.com/,"Bariatric Surgery,  Diabetology,  Endoscopy, ENT,Gastroenterology,  General Surgery,  Gynaecology,  Maxillofacial Surgery,  Ophthalmology,  Oral Surgery,  Orthopedics,  Plastic Surgery and Cosmetic Surgery,  Spine Surgery,  Surgical Oncology,  Urology,",NA
Delhi,Delhi,"VRI Leg Clinic, New Friends Colony",Private,Allopathic,"D-961,New Friends Colony, Opp.Mata Mandir, New Delhi, Phone- 08826699524, Fax- (011) 26920412",110065,info@vrilegclinic.com,http://www.vrilegclinic.com,Vein Health,NA
Delhi,Delhi,Sankhwar Hospital,Private,Allopathic,"D – 134 Kondli, Delhi, Phone- (011) 22612400, 22612433, 22612455, Helpline: 09716766666",110096,hr@sankhwarhospital.com,http://sankhwarhospital.com/,"Radiology and Imaging, Gastroenterology , Laparoscopy and Keyhole Surgery, Obstetricsand Gynaecology ,Ophthalmology ,Orthopedic , Urology, Nutrition and Dietetics ,Physiotherapy, Dental Clinic, Internal Medicine, Pediatrics and Neonatology, Tonsillectomy, Ear and nose surgeries.",NA
Delhi,Delhi,"Smilekraft Multispeciality Dental Clinics, Outram Lines",Private,Allopathic,"2059, Outram Lines, Kingsway Camp, Near GTB Nagar Metro Station, New Delhi, Phone- (011) 27606636",110009,NA,http://www.smilekraft.in/,Dental Services,NA
Delhi,Delhi,"Smilekraft Multispeciality Dental Clinics, South Ex",Private,Allopathic,"A-22/3, 1st floor, South Extension-1,New Delhi, Phone- (011) 46047199 ,Helpline: 09910335795",110049,NA,http://www.smilekraft.in/,Dental Services,NA
Delhi,Delhi,"Smilekraft Multispeciality Dental Clinics, South Ex-1",Private,Allopathic,"5-D-Block, South Ex-1, New Delhi, Arya Poly Clinic, D-Block, South Ex Part-1 ,New Delhi, Phone- (011) 32639969, Helpline: 09868019852",110049,NA,http://www.smilekraft.in/,Dental Services,NA
Delhi,Delhi,Jeewan Hospital & Nursing Home Private Limited,Private,Allopathic,"Jeewan Nagar, Opp. Maharani Bagh, New Delhi, Phone -(011) 26340303,26341430, 26342401",110014,info@jeewanhospital1.com,http://www.jeewanhospital1.com/,"Accident & Trauma Centre, AnaesthesiologyDentistry,Dermatology,DiabetologyEmergency,ENT,Eye,GastroenterologyGeneral & Laporoscopic,Gynaecology and Obstetrics,Internal Medicine, NephrologyNeurology, Orthopedic & TraumatologyPediatrics, Pulmonology - ChestRadiology, Urology",NA
Delhi,Delhi,M M Eyetech Institute,Private,Allopathic,"Clinic and Diagnostic Center,29, Link Road, Lajpat Nagar - III,New Delhi, Phone-(011) 29847800,29847900, Fax: (011) 29847600",110024,contactadmin@mmeyetech.com,http://www.mmeyetech.com/,"Cornea Transplant & Refractive Lasers, Cataract & Anterior SegmentRetina & Lasers, Squint & Pediatric OphthalmologyGlaucoma,Oculoplastics,Neuro-Ophthalmology,Contact lenses & Low visionOcular Trauma Service, Cosmetic Surgery",NA
Delhi,Delhi,Ashray Medical Centre,Private,Allopathic,"W.H.S-2/24,Timber Market, Kirti Nagar,New Delhi, Phone - (011) 25411359,45579874, Helpline: 09891201977",110015,ashray@gmail.com,http://www.ashraymedicalcentre.com/,NA,"24 hours Emergency services with availability of specialists, 24 hours Ambulance.24 hours Chemist and Pharmacy, 24 hours Advance Diagnostics, Spacious OPD complex with specialist and super specialists for consultations, X-Ray, ECG"
Delhi,Delhi,Handa Nursing Home,Private,Allopathic,"57, Raja Garden, New Delhi,Phone-(011) 25433342, 25415726, 25162299,45606000 , Fax- (011) 25162836",110015,info@handanursinghome.com;,http://handanursinghome.com/,NA,"Ambulance,Laboratory,Pharmacy,Operation Theaters,Labour Room,ICU,Central Oxygen Supply,X-Ray,Ultrasound ,(USG),ECG, PhysiotherapyOPD , 9 AM TO 11:30 AM & 4 PM TO 8 PM"
Delhi,Delhi,Ganesh Ortho Trauma & Medical Centre,Private,Allopathic,"F-15/7, Hansraj Marg, Near BSES Office , Krishna Nagar,Delhi,Phone-(011) 43146100, 09810033044, Fax- (011) 43146198-99",110051,ganeshorth@gmail.com,www.ganeshortho.co.in,"Joint Replacement, Orthopaedic",NA
Delhi,Delhi,Axiss Dental,Private,Allopathic,"489/55/1, Near Corner Market,Maharshi Dayanand Road, Malviya Nagar,New Delhi, Toll Free: 1800 200 8886",110017,NA,http://www.axissdental.com/,"Dental Services , Restoration,PediatricDentistry,Cosmetic/Aesthetics",NA
Delhi,Delhi,I Care Centre,Private,Allopathic,"C-6/9 , Safdarjung Development Area, Behind Hauz Khas Telephone exchange, New Delhi , Phone - (011) 26963999",110016,drsicare@gmail.com,http://www.icaredelhi.com,Eye Care,NA
Delhi,Delhi,National Institute of TB and Respiratory Diseases,Private,Allopathic,"Sri Aurobindo Marg, Near Qutub Minar, New Delhi.",110030,dirlrsi@bol.net.in,http://lrsitbrd.nic.in/,Tuberculosis and Allied Diseases.,"Respiratory Emergency 24 hoursOPD Registration 8.45 A.M. to 12.00 P.M. (Monday - Saturday)Surgical OPD 2.00 PM to 3.00 PM. (Tuesday & Friday)  General Clinics 9.00 A.M. to 1.00 P.M. (Monday to Saturday)Lung Cancer Clinic 9.00 A.M. to 1.00 P.M. ( Tuesday )ART Clinic 9.00 A.M. to 1.00 P.M. ( Monday to Saturday)Allergy and Immunotherapy clinic 9.00 A.M. from 1.00 P.M. (Tuesday & Friday) Tobacco Cessation Clinic 11 AM to 1 P.M. (Tuesday & Friday) Room No. 119,1st Floor, OPDPre-Anesthesia Checkup (PAC) Clinic 11 AM to 1 P.M. (Saturday) Room No. 119,1st Floor, OPDSleep Clinic 2 PM to 3 P.M. (Tuesday)"
Delhi,Delhi,Chikitsa Multispecialty Hospital,Private,Allopathic,"AADI MediTour India, B-4 Saket , Opp. Gyan Bharati School, Delhi, Phone- 09873924284, 09711112808",110017,contact@aadimedicaltourism.com,http://www.aadimedicaltourism.com/,NA,"Medical Tourism Services, Travel, Documentation & Lodging ,Doctor@Net"
Delhi,Delhi,Devki Devi Foundation,Private,Allopathic,"2 Press Enclave Road, Saket, Phone- (011) 26515050 ,Fax- (011) 26510050",110017,hardev.mangat@devkidevifoundation.org,http://www.devkidevifoundation.org/,NA,"302 beds, 11 OTs, 2 cardiac cath Laboratory17 CTVS ICU & HDU, 16 apex coronary care11 cath recovery, 9 Oncosurgical ICU"
Delhi,Delhi,Saket City Hospital,Private,Allopathic,"Mandir Marg, Press Enclave Road, Saket, New Delhi,Phone- (011) 71212121,Fax-(011) 26963801",110017,contactus@saketcityhospital.com,http://www.saketcityhospital.com/,NA,NA
Delhi,Delhi,Sawan Neelu Angel's Nursing Home,Private,Allopathic,"J-293, Saket, New Delhi, Phone- (011) 43191333, 43191300 ( 30 Lines)Emergency: 09811140145, 09990734333,HelpLine: (011) 43191301,Lab Helpline: (011) 43191312",110010,snah_home@yahoo.co.in,www.sawanneeluhospital.com,"General Surgery, Cadiology,Ophthalmology,Physiotherapy,General Medicine,Pediatrics,UrologyGynaecology,Pathology,Dermatology,E.N.T., Endocrinology, AnaesthesiaPlastic Surgery,Neurology,Speech Therapy, Dental",NA
Delhi,Delhi,Sunil Park Hospital,Private,Allopathic,"15/199, Malvia Nagar, New Delhi, Phone-(011) 26680247,26680380,26681963,26684525Fax- (011) 26684475",110017,sunilhospital@gmail.com,parkhospital.in/park-sunil-hospital/150.html?,"Medicine, Cardiology, General and Laparoscopic Surgery, Obstetrics and Gynaecology,Orthopedics,Urology,ENTPediatrics , Plastic & Cosmetic Surgery,",NA
Delhi,Delhi,Tirupati Medical Centre,Private,Allopathic,"C-10 Shivalik, Panchsheel Geetanjali Road, New Delhi,Phone - (011) 26680759, 26680393",110017,reception@tirupatimedicalcentre.com,http://www.tirupatimedicalcentre.com/,NA,Our consultation timesMon - Sat: 10:00am-1:30pm and 5:00pm-8:30pmSunday: only by appointments
Delhi,Delhi,Vashista Clinics & Hospital for Orthopedic,Private,Allopathic,"B-35, Shivalik, Malviya Nagar ,New Delhi, Phone - (011) 26691177",110017,vashishtaclinic@gmail.com,http://www.vashishtaOrthopedic.com/,Orthopedic services,__
Delhi,Delhi,Venu Eye Institute & Research Centre,Private,Allopathic,"1/ 31, Sheikh Sarai Institutional Area- II,New Delhi, Phones- (011) 2925 1155/ 1156/ 0757/ 4758",110017,vcs@venueyeinstitute.org,http://www.venueyeinstitute.org/,Eye Care Services,NA
Delhi,Delhi,The Bone & Joint Clinic,Private,Allopathic,"G-44, Pushker Enclave, Paschim Vihar (Near E-Zone, Opposite Pink Apartments, About 150 meters from Outer Ring Road.),New Delhi,Phone- (011) 25257131 , 25286501 ,09810520604",110063,jsranyal@gmail.com,http://www.bjcdrranyal.com/,NA,"Physiotherapy Services, X-Ray Services, Regenerative Orthopedics"
Delhi,Delhi,Dr. Kapoor Healing Touch Eye Center,Private,Allopathic,"D-8 Vikaspuri, New Delhi, Phone- 09871789999",110018,NA,http://drkapurtoucheye.tradeget.com/,"Cataract, Lasik Refractive Services, ICL Refractive Services , CLE Refractive Services Cornea , Retina Clinic, Pediatric Ophthalmology & Squint Oculoplasty Services , Glaucoma, Neuro Ophthalmology",NA
Delhi,Delhi,Park Hospital,Private,Allopathic,"Meera Enclave ( Chowkhandi), Near Kashopur Bus Depot Outer Ring Road , New Delhi, Phone- (011) 28332426/27, 65956767,Helpline:(011) 45323232",110018,park.hospital12@gmail.com,http://parkwest.parkhospital.in/,NA,NA
Delhi,Delhi,Ravi Eye Foundation,Private,Allopathic,"B-8 Ganesh Nagar, Main Najafgarh Road, Near Janakpuri East Metro Station,New Delhi, Phone - (011) 25998114, (011) 43526353, 9873006353,9811676812",110018,ravieyefoundation@gmail.com,http://www.ravieyefoundation.in/,"Cataract, Refractive Surgeries Phaco , Glaucoma , IOLS, Uveitis ,Contact Lens ,Computer Vision Syndrome",NA
Delhi,Delhi,Khandelwal Clinic,Private,Allopathic,"N-15, Ground Floor ,Kalka ji ,New Delhi, Phone- (011) 41601848",110019,khandelwalclinic@gmail.com,http://khandelwalclinic.in/,Eye Gynaecology and Obstetrics,NA
Delhi,Delhi,Dr. Shweta's Dental Clinic,Private,Allopathic,"D – 42, Kalkaji, New Delhi,Phone- (011) 26414243, 09811227991, 09810335961",110019,drpuneetbatra@gmail.com,http://dentistindia.in/,"Orthodontic Treatment, Cleft lip & Palate, Fixed Teeth ReplacementDental Implants ,Dentures ,Cosmetic Smile DesignRoot Canal Treatment , Teeth whitening ,Gum Treatment & SurgeriesMobile Teeth Solution ,Kid Dentistry ,Impacted Teeth RemovalSnoring Treatment ,TMD ,Sports Guard ,Patient Education",NA
Delhi,Delhi,Mukherjee Eye Klinik,Private,Allopathic,"40/90, C.R.Park, New Delhi,Phones - (011) 26470965,26223352, 26223352, Fax - (011) 41602515",110019,mukherjee@eyedoctors.in,http://www.eyedoctors.in/,"Cataract,Cornea Ocular Surface,Glaucoma,Retina Vitreous,Squint & Amblyopia",NA
Delhi,Delhi,P M Stone Clinic & Ent Centre,Private,Allopathic,"E-2, NR Gol Chakkar,Main Road, Kalkaji, New Delhi, Phone- 09811078973",110019,pmstoneclinic@yahoo.com,http://www.pmstoneclinic.in/,NA,NA
Delhi,Delhi,Shubham Hospital,Private,Allopathic,"DD-15, Kalkaji, (Opp. Main Post Office),New Delhi, Phone- (011)26439867 , 26437885, 2641 9895",110019,hospitalshubham@gmail.com,http://www.shubhamhospital.in/,NA,NA
Delhi,Delhi,Aastha Medical Centre,Private,Allopathic,"81 Block C Lajpat Nagar 2, New Delhi, Phone- (011) 29818474, 29819474",110024,aasthamedicalcentre@gmail.com,http://aasthamedicalcentre.healthline24x7.com/,Obstetrics and Gynaecology,NA
Delhi,Delhi,Manchanda's Endoscopic Center,Private,Allopathic,"A-32, New Friends Colony, New Delhi, Phone - (011) 26847123, 09810017651",110065,drrahulmanchanda-at-rediffmail.com,http://www.gynaeendoscopy.com/,NA,NA
Delhi,Delhi,Medanta Mediclinic,Private,Allopathic,"E – 18, Defence Colony, New Delhi, Phone- (011) 44114411,Fax -(011) 2433-1433",110024,info@medanta.org,http://www.medanta.org/,NA,NA
Delhi,Delhi,Saaol Heart Center,Private,Allopathic,"2/2, Dharam Kiran House, Chhattarpur Road, Near Chhattarpur Metro Station,Chhattarpur, New Delhi, Phone-(011) 65093130, 09811050427,",110074,"saaoltimes@saaol.com,",http://www.saaolheartcenter.com/,NA,NA
Delhi,Delhi,"Saaol Heart Center, Lajpat nagar",Private,Allopathic,"14/84, Vikram Vihar, Lajpat Nagar-IV, New Delhi, Phone-(011) 26235168, 26283098, 26211908, 65178530",110024,doctors@saaol.com,http://www.saaolheartcenter.com/,NA,NA
Delhi,Delhi,Endolite India Limited,Private,Allopathic,"A-4, Naraina Industrial Area,Phase 1, New Delhi, Phone- (011) 45689999,Fax- (011) 25891543",110028,info@endoliteindia.in,http://www.endoliteindia.com/,NA,NA
Delhi,Delhi,"Saaol Heart Center, Vikas Marg",Private,Allopathic,"61, Defence Enclave, Vikas Marg, Delhi, Phone-( 011) 65656537",110092,accounts@saaol.com,http://www.saaolheartcenter.com/,NA,NA
Delhi,Delhi,"Saaol Heart Center, Deepali Chowk",Private,Allopathic,"A-31 Sarsawati Vihar, Deepali Chowk (Near Rani Bagh Police Station), Pitampura, Delhi,Phone-(011) 27012024, 65158202",110034,drbimalchhajer@saaol.com,http://www.saaolheartcenter.com/,NA,NA
Delhi,Delhi,Fortis Escorts Heart Institute,Private,Allopathic,"Okhla Road, New Delhi, Phone- (011) 47135000,Fax- (011) 26825048",110025,contactus.escorts@fortishealthcare.com,http://www.fortisescorts.in/,NA,NA
Delhi,Delhi,M G S Hospital,Private,Allopathic,"Rohtak Road, West Punjabi Bagh, New Delhi, Phone- (011) 25226100, 25220131, Emergency: (011) 45111431, 09313119449",110026,info@mgshospital.com,http://mgshospital.com/,"Aneshthesia,Burns & Plastic SurgeryCardiology,CTVS,Dental,DermatologyDiabetes,Dietetics,ENTGastroenterologyGeneral Laparoscopic SurgeryGynaecology and ObstetricsInternal MedicineJoint Replacement surgeonLaboratory, NephrologyNeuro Surgery, NeurologyOphthalmology, OrthopedicPathologist, PediatricsPhysiotherapy ,Plastic CosmeticPsychiatry, RadiologyRespiratory Medicine,Skin,Urology",NA
Delhi,Delhi,Maharaja Agrasen Hospital,Private,Allopathic,"West Punjabi Bagh, New Delhi, Phone- (011) 40777555 / 40777666/ 40777777",110026,info@mahdelhi.org,www.mahdelhi.org,"Anesthesia, Blood Bank, Cardiac SurgeryCritical Care ,Cardiology ,DermatologyDental, Diabetes & EndocrinologyDietary ,Medicine ,ENTEndocrine Surgery ,GI SurgeryGastroenterology ,SurgeryInfertility ,LaboratoryNeurology ,NephrologyNeurosurgery ,OrthopedicsObstetrics& GynaecologyOphthalmology ,PhysiotherapyPediatrics, Plastic & Reconstructive SurgeryPaediatric Surgery ,PsychiatryRadiology ,Renal Transplantation UnitRespiratory Pulmonology ,Rheumatology, Urology",NA
Delhi,Delhi,Ahuja Nursing Home,Private,Allopathic,"J 1/161 ,Rajouri garden, New Delhi, Phone- (011) 25194746,41440005 ,Emergency: 09811141248",110027,drmsahuja@yahoo.com,www.drmsahuja.com,NA,"orthopaedic care, Treatment of Arthritis osteoporosis, diagnostic, therapeutic arthroscopy arthroplasty,knee and hip replacementTrauma care, general musculoskeletal disordersHands, Shoulder, Knee and Spine DisordersOccupational and Rehabilitation Therapy post Injury."
Delhi,Delhi,Batra West End Centre,Private,Allopathic,"A-1/6, Ring Road, Rajouri Garden, New Delhi, Phone- (011) 47778000",110027,info@batrahospitaldelhi.org,http://www.batrahospitaldelhi.org/,Centres of ExcellenceMedical SpecialitiesSurgical SpecialitiesDiagnostic SpecialitiesAlternate MedicineSupport Services,NA
Delhi,Delhi,Insight Eye Clinic,Private,Allopathic,"J-9/5, Rajouri Garden, New Delhi, Phone- (011) 25440850,Emergency: 9811133583",110027,info@insighteyeclinic.in,http://www.insighteyeclinic.in/,Eye Care,NA
Delhi,Delhi,Dr Bhim Rao Ambedkar Hospital,Public,"Allopathic, Ayush/ Homeopathy/ Ayurveda","Sector-6, Rohini, Delhi, Phone- (011) 27055585",110085,"msbsahosp.Delhi@nic.in,",http://Delhi.gov.in/wps/wcm/connect/doit_dbsah/DBSAH/Home/,"Medicine, Surgery, Gynaecology, Pediatrics, Orthopedics, Chest Clinic, Eye, ENT, Dermatology, Psychiatric, Dental, ART VCTC (AIDS CLINIC), Ayurvedic, Homeopathy, Malaria Clinic, PPCT, Family Planning, Urology, Forensic Medicine,",NA
Delhi,Delhi,Joy Nursing Home,Private,Allopathic,"J-5/49-F, Ragouri Garden, New Dehli, Phone- (011) 45637700-99",110027,Joynursinghome@yahoo.in,www.joynursinghome.in,NA,NA
Delhi,Delhi,Dr A.K. Gulati?,Private,Allopathic,"A-50, Naraina Vihar, New Delhi, Phone -09999888581",110028,NA,http://www.drakgulati.com/,NA,NA
Delhi,Delhi,Delhi Pain Management Centre,Private,Allopathic,"B-2/18 Safdarjung Enclave, New Delhi, Phone- (011) 41354555, 09810134924",110029,gpdureja@gmail.com,http://www.pain-india.com/,NA,NA
Delhi,Delhi,Dr. B R Ambedkar Institute Rotary Cancer Hospital,Public,Allopathic,"Ansari Nagar , New Delhi",110029,NA,NA,NA,NA
Delhi,Delhi,Dr. Ajay Munjal Eye Clinic.,Private,Allopathic,"B-2/203 Safdarjung Enclave, New Delhi,Phone- (011) 26176134/ 26178483,9810 231 496",110029,ajmunjal@yahoo.com,http://drajaymunjal.com/,NA,NA
Delhi,Delhi,"Santhigram Kerala Ayurvedic Hospital ,Paschim Vihar",Private,Ayush/ Ayurveda,"A-5/5, Paschim Vihar, New Delhi, Phone- (011) 25261924, 25283724,Fax- (011) 42311409",110063,delhi@ayurvedasanthigram.com,http://www.ayurvedasanthigram.com/,NA,NA
Delhi,Delhi,"Santhigram Kerala Ayurvedic Hospital, South Delhi",Private,Ayush/ Ayurveda,"A-1/286, Safdarjung Enclave, New Delhi, Phone - (011) 26169775, 26169776, Fax: +91 11 41354224",110029,delhi@ayurvedasanthigram.com,http://www.ayurvedasanthigram.com/,NA,NA
Delhi,Delhi,"Santhigram Kerala Ayurvedic Hospital, Dwarka",Private,Ayush/ Ayurveda,"D-467, Near Shiksha Bharati Public School,Rampal Chowk, Sector-7, Dwarka, New Delhi, Phone-(011) 64545858 / 45797239",110075,delhi@ayurvedasanthigram.com,http://www.ayurvedasanthigram.com/,NA,NA
Delhi,Delhi,Shukhmani Hospital,Private,Allopathic,"B-7 Ext./126A,Safdarjung Enclave New Delhi, Phone -(011) 26194000/222/333,",110029,NA,http://www.sukhmanihospital.in/,NA,NA
Delhi,Delhi,Kairali Ayurvedic Group,Private,Ayush/ Ayurveda,"D-120, Andheria Modh, Mehrauli New Delhi, Phone- 09555156156",110074,info@kairali.com,http://www.kairali.com/,NA,NA
Delhi,Delhi,Divya Clinic,Private,Allopathic,"1/11820, Panchsheel Garden, Navin Shahdara,Delhi,Phone-(011) 2822405",110032,NA,http://divyaclinic.com/,Child Clinic,NA
Delhi,Delhi,Kalra Clinic,Private,Allopathic,"C-270 Defence Colony, New Delhi, Phone - (011) 24336429",110024,NA,http://kalradentalclinic.com/,Dental,NA
Delhi,Delhi,Bhatia Global Hospital and Endosurhery Institute,Private,Allopathic,"307-308, Ambika Vihar,Opp. Central School,Paschim Vihar,New Delhi, Phone -(011) 25270500, 25270701, 25270702, 25256408,Emergency:9810008507, 9810138656",110087,bhatiaglobal@gmail.com,www.BhatiaGlobalHospital.com,"Laparoscopy,Retroperitoneoscopy,Endourology,Gynaecology,Hysteroscopic Surgery, Ent,Plastic Surgery,Arthroscopy,Neuro Surgery , Endoscopy Bronchoscopy, Thoracoscopy",NA
Delhi,Delhi,Save Sight Centre,Private,Allopathic,"A-14, G. T. Karnal Road, Adarsh Nagar,Opp. Adarsh Nagar Metro Station, New Delhi, Phone: (011) 27681312, 09210914391",110033,info@savesightcetre.com,www.savesightcentre.com,"Cataract Services,Vitreo-Retina Services, Uveitis ClinicRefractive Surgery Services, Strabismus Pediatric OphthalmologyGlaucoma Services, Contact Lens ClinicTreatmentSurgeries, Vision rehabilitation and low vision",_
Delhi,Delhi,Delhi Piles Clinic,Private,Allopathic,"Metro Clinic 1184/13 , Lane No-13,Govind Puri, Kalkaji, New Delhi, Phone- 09899100200",110019,dr9899100200@gmail.com,www.pilestreatment.com,NA,NA
Delhi,Delhi,Kuber Hospital,Private,Allopathic,"12, Chanderlok Enclave, Pitam pura, Delhi, Phone : (011) 27353246,27352931, 27354408,Fax- (011) 42458192",110034,info@kuberhospital.com,www.kuberhospital.com,"Gynaecology and ObstetricsDentalPediatrics, Surgery ,Internal Medicine",NA
Delhi,Delhi,Manna Clinic & Maternity Home,Private,Allopathic,"WZ-1367, Rani Bagh, Delhi, Phone - (011) 7025259",110034,NA,http://www.mannaclinic.com/,NA,NA
Delhi,Delhi,Muni Maya Ram Jain Hospital,Private,Allopathic,"KD Block,Muni Maya Ram Marg, Pitampura, New Delhi.",110034,NA,NA,NA,NA
Delhi,Delhi,Agrawal Nursing Home,Private,Allopathic,"2528, Tota Ram Bazar, Tri Nagar,New Delhi, Phone- (011) 27383366-77",110035,query@agrawalnursinghome.com,http://agrawalnursinghome.com/,NA,NA
Delhi,Delhi,Balaji Nirogdham,Private,Allopathic,"Bakhtawarpur, New Delhi, Phone- (011) 64532820/21",110036,nirogdham@gmail.com,www.balajinirogdham.com,NA,NA
Delhi,Delhi,Aastha Hospital & IVF Centre Multispeciality Hospital,Private,Allopathic,"L-2/50, New Mahavir Nagar, Opp. Kangra Niketan, Outer Ring Road, New Delhi, Phone- (011) 25993047, 25995363Emergency: 9250913363, Fax- (011) 45058273",110018,aasthahospital2008@gmail.com,http://aasthaivfcentre.com/,NA,NA
